username,acctdesc,location,following,followers,totalTweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
marcarl89,,,314,92,985,2016-11-23 17:58:49,2020-07-11 18:52:04,2,"#Cryptogiveaway 
50$ USD of #VIDT
-Follow @MaddieTel 
-Retweet and ❤️
-Tag 2
-Join VIDT Community
https://t.co/puTGS23H7r
-Predict how much VIDT will be burned in July. Nearest answer win!

#BTC #TRX #Telcoin #XRP #VET #ZIL #crypto #Bitcoin #ETH #TOMO #cryptocurrency #DEFI #CRO https://t.co/uZLpKtv8nI","[{'text': 'Cryptogiveaway', 'indices': [15, 30]}, {'text': 'VIDT', 'indices': [43, 48]}]"
LowCapMoonshots,🔥🔥Low Cap Cryptocurrency Moonshots 🔥🔥🚀🚀🚀10-50x Take Profits DYOR 🚀🚀🚀 Giveaways/Trade Signal/Research/No PnD $VIDT $LINK $BEPRO $DRGN,,665,187,36,2020-07-03 02:53:40,2020-07-11 18:51:22,2,"#Cryptogiveaway 
50$ USD of #VIDT
-Follow @MaddieTel 
-Retweet and ❤️
-Tag 2
-Join VIDT Community
https://t.co/puTGS23H7r
-Predict how much VIDT will be burned in July. Nearest answer win!

#BTC #TRX #Telcoin #XRP #VET #ZIL #crypto #Bitcoin #ETH #TOMO #cryptocurrency #DEFI #CRO https://t.co/uZLpKtv8nI","[{'text': 'Cryptogiveaway', 'indices': [15, 30]}, {'text': 'VIDT', 'indices': [43, 48]}]"
fswlgkkt1,,,7,2,5,2020-06-23 18:30:35,2020-07-11 18:42:39,11,"Closing in on shitcoins and making the grand entry into top 100 #soon

$ocean

$qnt $ubt $xrp $xmr $dai $ewt $link $god $fun $rep $tel $tomo $ghost $etn $shit $coin $lambo $rari https://t.co/QNLqMh18AE","[{'text': 'soon', 'indices': [84, 89]}]"
MaddieTel,"#Telcoin Lover & Ambassador  #ETH #XTZ #TRX #ZIL #VET #VIDT
#TOMO  #POL 
#Bitcoin
Link to buy #BTC in Canada👇",Canada,3530,1575,6329,2010-12-23 23:40:04,2020-07-11 18:41:49,2,"#Cryptogiveaway 
50$ USD of #VIDT
-Follow @MaddieTel 
-Retweet and ❤️
-Tag 2
-Join VIDT Community
https://t.co/puTGS23H7r
-Predict how much VIDT will be burned in July. Nearest answer win!

#BTC #TRX #Telcoin #XRP #VET #ZIL #crypto #Bitcoin #ETH #TOMO #cryptocurrency #DEFI #CRO https://t.co/uZLpKtv8nI","[{'text': 'Cryptogiveaway', 'indices': [0, 15]}, {'text': 'VIDT', 'indices': [28, 33]}, {'text': 'BTC', 'indices': [190, 194]}, {'text': 'TRX', 'indices': [195, 199]}, {'text': 'Telcoin', 'indices': [200, 208]}, {'text': 'XRP', 'indices': [209, 213]}, {'text': 'VET', 'indices': [214, 218]}, {'text': 'ZIL', 'indices': [219, 223]}, {'text': 'crypto', 'indices': [224, 231]}, {'text': 'Bitcoin', 'indices': [232, 240]}, {'text': 'ETH', 'indices': [241, 245]}, {'text': 'TOMO', 'indices': [246, 251]}, {'text': 'cryptocurrency', 'indices': [252, 267]}, {'text': 'DEFI', 'indices': [268, 273]}, {'text': 'CRO', 'indices': [274, 278]}]"
BAGGINTHS,"EMEME ANDREW
Member, Nigerian Society of Engineers and major proponent of Blockchain and Enterprise Technologies 
U.S Socio-Economic commentator
Less Narcissism",Jos,65,47,1159,2017-02-22 07:18:17,2020-07-11 18:26:34,0,"@DrEvilofCrypto Please stop such comparisons! Ripple had already made tremendous progress far more tremendous compared to what Telcoin has done today. I don't see $tel going anywhere, the refusal to sign up with exchanges since 2018 for example shows how poor the team is compared to other teams",[]
XRP_Observer,"XRP/DA enthusiast, artist, raw meat eater, avid anti vegan, stone-cold straight forward, passionate family man, see through any form of bias, intuitive.",Outer coast,959,545,2933,2019-05-14 20:38:16,2020-07-11 18:24:58,6,"I LOVE when a plan works out perfectly!! This post in the TG was from a couple days ago when the price was hanging on by a thread.  I made this call before the price even got down that low 😂😜😜🤙🤙🤙

$TEL to the moon now as it made its FIRST ever higher low https://t.co/Kj4zVZoTRF",[]
CampDadCam,,"Buffalo, NY",642,247,20897,2011-07-16 00:21:12,2020-07-11 18:19:50,2,"Want to learn why #vechain is the best #blockchain company in the world? Watch the link here : https://t.co/JwFW1SZ4jo
$vet is the new oil 2020 + 🚀🚀
#bitcoin #ethereum #chainlink #cryptocurrency #xrp #altseason2020 #altseason #altszn #MATICNetwork #tezos #telcoin #xvg $btc.d https://t.co/60ggy1jVy2","[{'text': 'vechain', 'indices': [34, 42]}, {'text': 'blockchain', 'indices': [55, 66]}]"
CCribz,🧠#Crypto #Blockchain advocate & educator | 🔎Vision on #Fintech| 🇻🇪🇪🇸🇱🇺 |🌴Enjoying life. Plan ₳ / ₿ / C,Nederland,1096,948,14413,2018-05-28 14:29:33,2020-07-11 18:17:45,2,"My head keeps spinning around when i think about the BILLIONS of $ which could be saved when using #Bitcoin #Cardano or #Telcoin as a payments system. 

Only because of less fees &amp; transactions costs which should mean more money in your pocket.

Let that sink in.","[{'text': 'Bitcoin', 'indices': [111, 119]}, {'text': 'Cardano', 'indices': [120, 128]}]"
sjpmcintyre,"I love Facts, Data and Technology.  God, Family, America, Education, Coaching, Hockey, Crypto, #Bitcoin, Łitecoin, Chain Link.  🇺🇸",The D,2650,1834,41308,2011-01-24 16:38:27,2020-07-11 18:14:34,2,"My head keeps spinning around when i think about the BILLIONS of $ which could be saved when using #Bitcoin #Cardano or #Telcoin as a payments system. 

Only because of less fees &amp; transactions costs which should mean more money in your pocket.

Let that sink in.","[{'text': 'Bitcoin', 'indices': [111, 119]}, {'text': 'Cardano', 'indices': [120, 128]}]"
sjpmcintyre,"I love Facts, Data and Technology.  God, Family, America, Education, Coaching, Hockey, Crypto, #Bitcoin, Łitecoin, Chain Link.  🇺🇸",The D,2650,1834,41308,2011-01-24 16:38:27,2020-07-11 18:14:16,1,@CryptoMichNL The most heavily undervalued altcoin is #Telcoin. You will not regret because of their solution for banked the unbanked people.,"[{'text': 'Telcoin', 'indices': [69, 77]}]"
sjpmcintyre,"I love Facts, Data and Technology.  God, Family, America, Education, Coaching, Hockey, Crypto, #Bitcoin, Łitecoin, Chain Link.  🇺🇸",The D,2650,1834,41308,2011-01-24 16:38:27,2020-07-11 18:13:50,1,@girlgone_crypto #Telcoin and #Vet is good for your portfolio because they have more room to grow.,"[{'text': 'Telcoin', 'indices': [32, 40]}, {'text': 'Vet', 'indices': [45, 49]}]"
sjpmcintyre,"I love Facts, Data and Technology.  God, Family, America, Education, Coaching, Hockey, Crypto, #Bitcoin, Łitecoin, Chain Link.  🇺🇸",The D,2650,1834,41308,2011-01-24 16:38:27,2020-07-11 18:13:15,0,"TelCoin $TEL
That is all.
Enjoy your Saturday.",[]
e3epannell,"Triune God first love in our lives. Retired government, retired real estate investors. Cryptocurrency investors APL BTC ETH TEL. USA & international travelers.",,50,35,855,2018-04-17 19:49:10,2020-07-11 18:09:12,11,You knew it was only a matter of time before it was coming.. $TEL. Broke 2 major resistance level yesterday and has been trending higher since. The last 2 times the MACD crossed positive it pumped.. A 3rd crossover is beginning to occur. Will it pump and make another higher high? https://t.co/IRU4Gs2tkW,[]
AmsterdamEdwin,#Bitcoin #Zilliqa #Cardano #Vechain #Verge #Tron #IGG,Malaga,518,370,1318,2018-02-09 08:48:36,2020-07-11 18:02:23,2,"Want to learn why #vechain is the best #blockchain company in the world? Watch the link here : https://t.co/JwFW1SZ4jo
$vet is the new oil 2020 + 🚀🚀
#bitcoin #ethereum #chainlink #cryptocurrency #xrp #altseason2020 #altseason #altszn #MATICNetwork #tezos #telcoin #xvg $btc.d https://t.co/60ggy1jVy2","[{'text': 'vechain', 'indices': [34, 42]}, {'text': 'blockchain', 'indices': [55, 66]}]"
e3epannell,"Triune God first love in our lives. Retired government, retired real estate investors. Cryptocurrency investors APL BTC ETH TEL. USA & international travelers.",,50,35,855,2018-04-17 19:49:10,2020-07-11 17:58:51,1,"$TEL, anything under 10 sats is a steal. However, right now with a few $100s you can buy millions. Do the math.",[]
e3epannell,"Triune God first love in our lives. Retired government, retired real estate investors. Cryptocurrency investors APL BTC ETH TEL. USA & international travelers.",,50,35,855,2018-04-17 19:49:10,2020-07-11 17:55:24,1,Most people were thinking a new CEO for #Telcoin would be a bad thing... but what if it’s the catalyst for the next major move 😏 $TEL,"[{'text': 'Telcoin', 'indices': [60, 68]}]"
e3epannell,"Triune God first love in our lives. Retired government, retired real estate investors. Cryptocurrency investors APL BTC ETH TEL. USA & international travelers.",,50,35,855,2018-04-17 19:49:10,2020-07-11 17:54:50,3,"$tel #telcoin Update 💥🗣👀

- New team additions 

- Global licenses/partners in great shape &amp; Telcoin is in position to succeed 

- Opening up Telegram on Monday &amp; Paul Neuner (CEO) will make a broader statement https://t.co/9QGy4zPgAt","[{'text': 'telcoin', 'indices': [19, 27]}]"
james_lefler,"DLT ideologue. Digital Asset enthusiast. Dad of 3, $VET USN. Libertarian. Cooking, Travels, Hiking. My tweets: 98% DLT/Fintech/Economics
 
 $TEL $BTC $XRP #IoV",United States,282,188,2014,2013-10-15 19:26:54,2020-07-11 17:53:29,0,"@panneer1982 @MichaelSuppo @NucleusVision @PACcoinOfficial @telcoin_team @_poetproject The fat lady hasn't sang yet...

Telcoin has new leadership, more verticles, solid partnerships, and multiple regulatory licenses. 
DYOR - Not investment advice.

$TEL
#Telcoin https://t.co/sMihg9RBTF","[{'text': 'Telcoin', 'indices': [255, 263]}]"
