username,acctdesc,location,following,followers,totalTweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
EightyNineWaves,"Professional forecasts, analytics and trading under the Elliott Wave Principle",,285,2057,1285,2016-07-10 12:56:53,2020-07-11 18:55:08,0,"$MOEX index
Timeframe: 1H

We were too bearish (look update from June, 11 in my telegram channel). Sluggish growth continues and...

Look for details in my telegram channel

#moex #micex #89waves #ELLIOTTWAVE #EWT #forex #elliottwave #forextrader #forextrading #waveanalysis https://t.co/xnOdociBF0","[{'text': 'moex', 'indices': [174, 179]}, {'text': 'micex', 'indices': [180, 186]}, {'text': '89waves', 'indices': [187, 195]}, {'text': 'ELLIOTTWAVE', 'indices': [196, 208]}, {'text': 'EWT', 'indices': [209, 213]}, {'text': 'forex', 'indices': [214, 220]}, {'text': 'elliottwave', 'indices': [221, 233]}, {'text': 'forextrader', 'indices': [234, 246]}, {'text': 'forextrading', 'indices': [247, 260]}, {'text': 'waveanalysis', 'indices': [261, 274]}]"
dimdimdimma,$EWT,,176,34,124,2013-12-15 16:57:21,2020-07-11 18:54:28,5,"@binance $EWT 

Let’s be transparent here: it’s clear to the community that CMC shows lack of interest to update the MCAP of @energywebx

Tell us WHY does it take months to make changes especially when the other party provided sufficient info for you to get the job done

@CoinMarketCap",[]
fswlgkkt1,,,7,2,5,2020-06-23 18:30:35,2020-07-11 18:42:39,11,"Closing in on shitcoins and making the grand entry into top 100 #soon

$ocean

$qnt $ubt $xrp $xmr $dai $ewt $link $god $fun $rep $tel $tomo $ghost $etn $shit $coin $lambo $rari https://t.co/QNLqMh18AE","[{'text': 'soon', 'indices': [84, 89]}]"
Bullrun_Gravano,"Investor | Margin Trader | $EWT | $DMG Underboss | 

Join us: https://t.co/pZqPQojAiG",,105,3367,8767,2018-05-23 19:14:21,2020-07-11 18:35:00,0,"@Dentoshi93 @RookieXBT Cheers ...

$DMG @DMMDAO .. ready to pop again
$EWT @energywebnews .. will be I the top 20 as soon as CMC updates the supply and mcap. People sleeping on this.",[]
Smartcontracts3,"ENG/FIN
We are also in Facebook: https://t.co/c3hCEmR7Bt….",,18,1,16,2020-06-29 10:26:50,2020-07-11 18:31:16,5,"@binance $EWT 

Let’s be transparent here: it’s clear to the community that CMC shows lack of interest to update the MCAP of @energywebx

Tell us WHY does it take months to make changes especially when the other party provided sufficient info for you to get the job done

@CoinMarketCap",[]
CryptoWally2,In love with $ADA 🧠💡🌍 and her way to the top. $Ocean & $Fet will rock 2021. No financial advice. Dyor. 🇩🇪🕊,United Furrderation of Planets,340,594,4426,2019-08-16 08:54:22,2020-07-11 18:16:17,2,@UltraOceanWhale @oceanprotocol Chico Crypto said he is very bullish on $OCEAN on his live stream about 10 minutes ago. Links to $EWT as well. Big things coming.,[]
AbstractStag,,,28,53,305,2019-03-12 12:08:25,2020-07-11 18:06:41,0,"@UltraOceanWhale @oceanprotocol Watch from here. 

https://t.co/pNo7SAGTlU

$OCEAN $EWT",[]
UltraOceanWhale,🌊 $OCEAN 🎮 $UOS ⬢ $LINK  ⚛ $ATOM ₳ $ADA 🤖 $IOTA 🌐 $QNT 🇸🇬 $ZIL 🇰🇷 $ICX ⚡ $EWT  🗒 $UBT 🇪🇺 $FET ⛓ $MRPH $TRAC $TFD $AGI $VXV $ERD $FTM $MITX $IRIS $RLC,The Oasis,370,1202,13020,2019-04-14 14:03:21,2020-07-11 17:50:01,2,@UltraOceanWhale @oceanprotocol Chico Crypto said he is very bullish on $OCEAN on his live stream about 10 minutes ago. Links to $EWT as well. Big things coming.,[]
AbstractStag,,,28,53,305,2019-03-12 12:08:25,2020-07-11 17:35:10,2,@UltraOceanWhale @oceanprotocol Chico Crypto said he is very bullish on $OCEAN on his live stream about 10 minutes ago. Links to $EWT as well. Big things coming.,[]
djprithviindia,"Opening Sets for Hardwell, Lost Frequencies, Troyboi, Dubfire and more!

✨ Nominated India's No.1 Hip-Hop DJ by VH1 MyFavDJ Awards
✨Beatport Top 10 Charts......",India,881,206,4582,2014-09-29 02:44:22,2020-07-11 17:21:16,0,"@RippleRiddler1 I doubt $LINK will reach $200 in next 12 months atleast. Maybe $25 - $40.

$UBT  around $5 - $8
$EWT around $75 - $120
$ETH around $500 - $750

But it's crypto. I could be wrong too",[]
